,Date,Open,High,Low,Close,Adj Close,Volume
44,2015-03-09,31.99,32.392502,31.264999,31.785,28.890726,354114000
109,2015-06-10,31.98,32.334999,31.9625,32.220001,29.408445,156349200
172,2015-09-09,28.440001,28.504999,27.442499,27.5375,25.248312,340043200
305,2016-03-21,26.4825,26.9125,26.285,26.477501,24.512644,142010800
365,2016-06-15,24.455,24.602501,24.2575,24.285,22.619728,117780800
423,2016-09-07,26.9575,27.190001,26.7675,27.09,25.369074,169457200
459,2016-10-27,28.8475,28.965,28.525,28.620001,26.801878,138248000
611,2017-06-07,38.755001,38.994999,38.619999,38.842499,36.871822,84278400
678,2017-09-12,40.6525,40.990002,39.692501,40.215,38.3246,286856000
813,2018-03-27,43.419998,43.787498,41.73,42.084999,40.414974,163690400
862,2018-06-06,48.407501,48.52,47.98,48.494999,46.750202,83734400
930,2018-09-12,56.235001,56.25,54.959999,55.267502,53.465889,197114800
964,2018-10-30,52.787498,53.794998,52.317501,53.325001,51.586708,146640000
1062,2019-03-25,47.877499,47.994999,46.650002,47.185001,46.00259,175381200
1112,2019-06-05,46.07,46.247501,45.285,45.634998,44.662766,119093600
1179,2019-09-10,53.465,54.195,52.927502,54.174999,53.222271,127111600
1237,2019-12-02,66.817497,67.0625,65.862503,66.040001,65.07341,94487200
1378,2020-06-24,91.25,92.197502,89.629997,90.014999,89.148666,192623200
1435,2020-09-15,118.330002,118.830002,113.610001,115.540001,114.634315,184642000
1455,2020-10-13,125.269997,125.389999,119.650002,121.099998,120.150719,262330500
1475,2020-11-10,115.550003,117.589996,114.129997,115.970001,115.25946,138023400
